CAMIS,DBA,BORO,BUILDING,STREET,NEIGHBOURHOOD,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,CITY,STATUS,Restaurant Name,Area,Cuisine Type,Hygiene Score,Hygiene Rating,Inspector Comments,Is_Brand
30000000,McDonald's,Lahore,476,Market Rd,Samanabad,54760,+92-312-2525643,Pakistani,2024-02-18,Re-inspection Required,Not Critical,79,B,2024-02-25,2024-03-10,Enforcement Raid,31.545839,74.301973,Lahore,Active,McDonald's,Samanabad,Pakistani,79,Good,Storage practices need improvement.,True
30000001,KFC Liberty,Lahore,156,Main Blvd,Liberty Market,54060,+92-322-8014121,Fast Food,2023-05-21,Re-inspection Required,Not Critical,75,B,2023-05-22,2023-05-21,Routine Inspection,31.582086,74.264328,Lahore,Active,KFC Liberty,Liberty Market,Fast Food,75,Good,Chilled items slightly above recommended temp.,True
30000002,Dunkin' Donuts,Lahore,242,Samanabad Rd,Samanabad,54760,+92-316-9242417,Cafe,2024-01-15,Re-inspection Required,Not Critical,76,B,2024-02-05,2024-01-15,Follow-up,31.516242,74.348258,Lahore,Active,Dunkin' Donuts,Samanabad,Cafe,76,Good,Chilled items slightly above recommended temp.,True
30000003,Pizza Hut,Lahore,381,Main Blvd,Gulberg,54660,+92-315-5629621,Pizza,2023-03-07,Fine Imposed,Not Critical,61,C,2023-03-11,2023-04-16,Routine Inspection,31.458208,74.393666,Lahore,Active,Pizza Hut,Gulberg,Pizza,61,Average,Packaging labels missing; hygiene average.,True
30000004,Papa John's Lahore,Lahore,99,Main Blvd,Lahore Cantt,54770,+92-42-2367382,Pizza,2023-12-04,Re-inspection Required,Not Critical,82,B,2023-12-21,2023-12-13,Routine Inspection,31.475566,74.283643,Lahore,Active,Papa John's Lahore,Lahore Cantt,Pizza,82,Good,Chilled items slightly above recommended temp.,True
30000005,Monal,Lahore,457,Temple Rd,Old Anarkali,54010,+92-42-8635394,Fast Food,2024-06-12,Passed,Not Critical,96,A,2024-07-11,2024-07-14,Routine Inspection,31.483387,74.25483,Lahore,Active,Monal,Old Anarkali,Fast Food,96,Excellent,Clean premises; food handlers wearing gloves.,True
30000006,Subway Liberty,Lahore,149,Liberty Market,Liberty Market,54060,+92-312-7668839,Desi,2024-12-26,Fine Imposed,Not Critical,61,C,2025-01-09,2025-01-27,Enforcement Raid,31.5625,74.278049,Lahore,Active,Subway Liberty,Liberty Market,Desi,61,Average,Unsafe storage and mold in refrigerated unit.,True
30000007,Broadway Pizza Cavalry,Lahore,140,Canal Bank Rd,Cavalry,54020,+92-336-4654207,Pizza,2022-01-19,Warning Issued,Not Critical,72,B,2022-02-04,2022-03-05,Complaint-Based,31.510682,74.244067,Lahore,Active,Broadway Pizza Cavalry,Cavalry,Pizza,72,Good,Chilled items slightly above recommended temp.,True
30000008,Dunkin' Donuts Fortress,Lahore,283,Fortress Stadium Rd,Fortress Stadium,54070,+92-334-4996614,Cafe,2023-08-21,Advisory Issued,Not Critical,92,A,2023-09-19,2023-08-29,Complaint-Based,31.624677,74.210304,Lahore,Active,Dunkin' Donuts Fortress,Fortress Stadium,Cafe,92,Excellent,Clean premises; food handlers wearing gloves.,True
30000009,Texas Chicken Allama,Lahore,422,Ferozepur Rd,Allama Iqbal Town,54740,+92-322-7192640,Fast Food,2023-10-27,Advisory Issued,Not Critical,98,A,2023-11-19,2023-11-04,Enforcement Raid,31.629667,74.258979,Lahore,Active,Texas Chicken Allama,Allama Iqbal Town,Fast Food,98,Excellent,Kitchen hygiene satisfactory.,True
